id,CODIGO,NOMBRE,SECTO1_1993,SECTO2_1993,SECTO3_1993,SECTO4_1993,SECTO5_1993,SECTO6_1993,SECTO1_2005,SECTO2_2005,SECTO3_2005,SECTO4_2005,SECTO5_2005,SECTO6_2005,Prop_SECTO1_1993,Prop_SECTO2_1993,Prop_SECTO3_1993,Prop_SECTO4_1993,Prop_SECTO5_1993,Prop_SECTO6_1993,Prop_SECTO1_2005,Prop_SECTO2_2005,Prop_SECTO3_2005,Prop_SECTO4_2005,Prop_SECTO5_2005,Prop_SECTO6_2005
1,11,SUBA,10571,17011,25206,32095,27144,19768,15297,29683,54299,73681,53433,29879,"8,27","8,55","8,20","9,80","14,00","15,42","9,79","9,70","10,84","14,26","19,55","19,05"
2,1,USAQUEN,5609,7098,9437,17106,22524,20332,5304,11701,18118,32077,35024,27941,"4,39","3,57","3,07","5,22","11,61","15,86","3,39","3,82","3,62","6,21","12,81","17,81"
3,10,ENGATIVA,7812,16406,35134,49691,28114,14290,9390,25135,55713,70683,35503,15224,"6,11","8,25","11,42","15,17","14,50","11,15","6,01","8,21","11,12","13,68","12,99","9,70"
4,9,FONTIBON,3428,6865,11721,12335,7255,4156,3213,7818,19883,28781,17959,9832,"2,68","3,45","3,81","3,77","3,74","3,24","2,06","2,55","3,97","5,57","6,57","6,27"
5,12,BARRIOS UNIDOS,2215,4054,8322,12488,9902,6963,2454,3883,8716,14092,10595,5986,"1,73","2,04","2,71","3,81","5,11","5,43","1,57","1,27","1,74","2,73","3,88","3,82"
6,2,CHAPINERO,996,1148,2014,5398,9219,12798,1023,1947,3284,9023,13918,15980,"0,78","0,58","0,65","1,65","4,75","9,98","0,65","0,64","0,66","1,75","5,09","10,19"
7,13,TEUSAQUILLO,488,552,1852,7830,10582,9604,345,858,3549,13791,14981,11855,"0,38","0,28","0,60","2,39","5,46","7,49","0,22","0,28","0,71","2,67","5,48","7,56"
8,8,KENNEDY,11870,21516,38517,44564,22309,10878,15120,34462,67507,71977,27584,13055,"9,28","10,82","12,52","13,61","11,50","8,49","9,68","11,26","13,47","13,93","10,09","8,32"
9,7,BOSA,8764,16081,21208,13131,3786,1520,13277,30929,42793,28585,7030,3423,"6,86","8,09","6,90","4,01","1,95","1,19","8,50","10,10","8,54","5,53","2,57","2,18"
10,16,PUENTE ARANDA,2830,6195,16554,23641,12137,5636,2248,7211,18800,27616,10881,4736,"2,21","3,11","5,38","7,22","6,26","4,40","1,44","2,36","3,75","5,34","3,98","3,02"
11,3,SANTA FE,4815,5485,7509,6485,3761,3650,4517,6051,7686,7243,4449,3927,"3,77","2,76","2,44","1,98","1,94","2,85","2,89","1,98","1,53","1,40","1,63","2,50"
12,14,LOS MARTIRES,1331,2295,4788,6990,4417,2779,2310,3108,5855,6982,3244,1648,"1,04","1,15","1,56","2,13","2,28","2,17","1,48","1,02","1,17","1,35","1,19","1,05"
13,17,CANDELARIA,671,904,1307,1412,1018,930,713,819,1112,1559,1106,859,"0,52","0,45","0,42","0,43","0,52","0,73","0,46","0,27","0,22","0,30","0,40","0,55"
14,19,CIUDAD BOLIVAR,18230,20868,21687,13216,3935,1746,24925,37391,43682,23888,6991,2405,"14,26","10,49","7,05","4,04","2,03","1,36","15,95","12,21","8,72","4,62","2,56","1,53"
15,15,ANTONIO NARINO,1070,2240,5446,7799,4166,2293,1271,3496,7409,7900,2917,1358,"0,84","1,13","1,77","2,38","2,15","1,79","0,81","1,14","1,48","1,53","1,07","0,87"
16,6,TUNJUELITO,5250,10107,15511,12668,4452,1963,5243,10916,17748,15085,4584,1481,"4,11","5,08","5,04","3,87","2,30","1,53","3,36","3,57","3,54","2,92","1,68","0,94"
17,18,RAFAEL URIBE,10969,17600,25681,21640,7625,3657,11114,21353,31937,23758,6432,2499,"8,58","8,85","8,35","6,61","3,93","2,85","7,11","6,98","6,37","4,60","2,35","1,59"
18,4,SAN CRISTOBAL,14498,21213,27216,18092,5525,2710,13055,26980,34801,22454,7952,2380,"11,34","10,67","8,85","5,52","2,85","2,11","8,35","8,81","6,95","4,35","2,91","1,52"
19,5,USME,8829,11393,13302,7377,1792,744,10096,20711,26526,13251,2977,880,"6,91","5,73","4,33","2,25","0,92","0,58","6,46","6,77","5,29","2,56","1,09","0,56"
20,754,SOACHA,7600,9847,15132,13508,4261,1757,15345,21684,31591,24255,5770,1523,"5,94","4,95","4,92","4,13","2,20","1,37","9,82","7,08","6,31","4,69","2,11","0,97"
